id,date,department,month,employee_name,role,salary,experience,location
1,2026-04-17,HR,2026-04,Brandon Dickson,Manager,110959,5,Port Jennifer
2,2026-04-06,HR,2026-04,Steven Young,Analyst,37590,5,Stewartshire
3,2026-05-02,HR,2026-05,Stephen Chen,Manager,46780,14,Andersonchester
4,2026-04-22,HR,2026-04,Daniel Burke Jr.,Manager,39561,9,Rodriguezville
5,2026-03-29,HR,2026-03,Stefanie Patrick,Designer,93142,14,Lake Thomaschester
6,2026-05-13,HR,2026-05,Mr. Jeffrey Zimmerman,DevOps,51132,11,Taylorhaven
7,2026-05-07,HR,2026-05,Meagan Holloway,DevOps,43988,3,West Jason
8,2026-04-25,HR,2026-04,Emily Hernandez,DevOps,105247,15,Sallyport
9,2026-03-26,HR,2026-03,Timothy Herrera,Manager,61407,3,Port Sarah
10,2026-03-13,HR,2026-03,Mary Rogers,Engineer,95158,3,East Jessicahaven
11,2026-03-26,HR,2026-03,Erica Good,Manager,89254,5,Johnmouth
12,2026-04-14,HR,2026-04,William Chaney,Manager,87999,5,Calebborough
13,2026-04-08,HR,2026-04,Samantha Pitts,Engineer,53125,2,Port Donnafort
14,2026-05-16,HR,2026-05,Megan Johnson,Manager,95518,9,West Elizabethburgh
15,2026-04-16,HR,2026-04,Dominic James,DevOps,72160,2,Taylormouth
16,2026-03-25,HR,2026-03,Angela Anderson,Manager,97358,13,Patrickburgh
17,2026-04-01,HR,2026-04,Courtney Wise,DevOps,61270,15,Ianmouth
18,2026-04-07,HR,2026-04,Donald Mcintyre,Engineer,111804,12,Karenhaven
19,2026-03-31,HR,2026-03,Cody Collins,DevOps,73936,12,New Sarahmouth
20,2026-04-07,HR,2026-04,Christopher Alexander MD,DevOps,130102,9,Ashleymouth
21,2026-04-15,HR,2026-04,Kathy Walker,DevOps,130001,3,South Ericton
22,2026-02-23,HR,2026-02,Meredith Johnston,Designer,113963,5,Austinville
23,2026-04-09,HR,2026-04,Jeanette Diaz,DevOps,96850,13,Greenfurt
24,2026-03-25,HR,2026-03,Chloe Freeman,Manager,137837,1,Lake Jeffrey
25,2026-04-23,HR,2026-04,Laura Lowery,Engineer,125236,2,Jamieside
26,2026-05-12,HR,2026-05,Cory Kelly,Manager,52862,4,Port Rhonda
27,2026-04-28,HR,2026-04,Johnny Camacho,Manager,97859,12,Changfort
28,2026-03-18,HR,2026-03,Cody Hawkins,DevOps,89233,4,Fowlerburgh
29,2026-04-08,HR,2026-04,Catherine Miller,DevOps,41905,8,Mitchellburgh
30,2026-02-22,HR,2026-02,Elaine Austin,Analyst,125385,1,Charlesstad
31,2026-04-06,HR,2026-04,Douglas Osborne,Analyst,127771,7,Thomasside
32,2026-04-28,HR,2026-04,Spencer Fritz,Manager,118263,7,Smithtown
33,2026-02-27,HR,2026-02,Brittany Peters,Manager,81757,13,North Natalie
34,2026-05-03,HR,2026-05,Amber Lawrence,Analyst,135822,15,West Robertberg
35,2026-04-06,HR,2026-04,Rodney Mcbride,Engineer,102408,10,Reedfurt
36,2026-04-26,HR,2026-04,Kristen Murray,Analyst,132194,2,Lewischester
37,2026-04-08,HR,2026-04,Robin Fuentes,DevOps,54246,10,Phillipsborough
38,2026-03-01,HR,2026-03,Anthony Freeman,Engineer,108494,2,Port Kellymouth
39,2026-05-17,HR,2026-05,Luis Brewer,DevOps,139664,2,Lewisbury
40,2026-04-19,HR,2026-04,Raymond Ramos,Analyst,31699,4,Nicoleville
41,2026-05-12,HR,2026-05,Benjamin Wolfe,Analyst,43224,9,Lake Ethan
42,2026-03-21,HR,2026-03,Aimee Jackson,Engineer,109271,3,South Alejandraton
43,2026-03-19,HR,2026-03,Patricia Johnson,Manager,107406,7,North Douglasport
44,2026-02-21,HR,2026-02,Michael Sullivan,Engineer,69403,11,North Gabrielle
45,2026-05-16,HR,2026-05,Vanessa Salazar,Engineer,55268,14,North Austinstad
46,2026-05-16,HR,2026-05,Christine Benson,Designer,96384,7,North Colleen
47,2026-05-06,HR,2026-05,Patrick Barnes,Analyst,137438,5,West Stephaniemouth
48,2026-05-01,HR,2026-05,David Sellers,DevOps,115582,8,East Mackenzieshire
49,2026-03-24,HR,2026-03,Randy Webster,DevOps,70210,2,New Rickystad
50,2026-05-06,HR,2026-05,Amanda Olsen,Designer,53596,8,Robertberg
51,2026-04-01,HR,2026-04,Candace Parker,Engineer,127582,9,Lake Sheilaville
52,2026-04-22,HR,2026-04,Gerald Travis,DevOps,98755,5,East Allison
53,2026-03-09,HR,2026-03,Mary Roberts,Designer,52795,14,Port Melissamouth
54,2026-03-16,HR,2026-03,Michelle Watkins,Manager,45473,10,Morrisshire
55,2026-03-16,HR,2026-03,Jessica Harris,Engineer,52731,12,Nancyfurt
56,2026-04-21,HR,2026-04,Sean Barajas,Analyst,76381,3,East Levi
57,2026-03-17,HR,2026-03,Stephanie Davis,Manager,92142,2,Suzannefort
58,2026-04-22,HR,2026-04,Ashley Fowler,DevOps,32074,5,Jasonton
59,2026-05-02,HR,2026-05,Carla Rice,Engineer,138225,10,West Wesley
60,2026-04-16,HR,2026-04,Shane Daugherty,Designer,115574,6,Cunninghamberg
61,2026-05-04,HR,2026-05,Mark Williams,Manager,117223,12,Chandlermouth
62,2026-05-15,HR,2026-05,Amanda Randall,Analyst,51264,3,New Eric
63,2026-03-09,HR,2026-03,Robin Ball,Analyst,82579,4,Willisview
64,2026-04-23,HR,2026-04,Jason Smith,Engineer,119541,6,Lake Jacob
65,2026-03-18,HR,2026-03,Nicholas Willis,Designer,82438,14,New Lisa
66,2026-03-28,HR,2026-03,Joseph Terrell,Analyst,79459,9,South Kristinside
67,2026-03-01,HR,2026-03,Donna King,Designer,40277,6,Meganshire
68,2026-03-20,HR,2026-03,Sherri Bridges,Designer,109797,5,Shannonstad
69,2026-03-28,HR,2026-03,Christopher Lee,Engineer,99787,5,Cherylmouth
70,2026-02-20,HR,2026-02,Rachel Johnson,Analyst,49139,10,East Abigail
71,2026-03-27,HR,2026-03,Anthony Roman,Designer,123283,8,Lake Hannahtown
72,2026-05-20,HR,2026-05,Robert Brown,DevOps,110586,2,Allisonfort
73,2026-02-27,HR,2026-02,Larry Rodriguez,Manager,94862,4,Port Rita
74,2026-03-29,HR,2026-03,Thomas Frost,Analyst,75642,7,West Marissa
75,2026-03-06,HR,2026-03,Sarah Ortiz,Designer,62549,4,Bradville
76,2026-02-20,HR,2026-02,Beth Baker,Manager,30634,12,New Jasonview
77,2026-04-26,HR,2026-04,Keith Stevenson,Designer,92862,14,Spencerstad
78,2026-03-28,HR,2026-03,Timothy Stevens,Engineer,43518,12,South Juan
79,2026-03-05,HR,2026-03,Eddie Nichols,Designer,58875,13,Chelseaport
80,2026-02-26,HR,2026-02,Stacy Guerrero,DevOps,61192,8,Davenportside
81,2026-05-17,HR,2026-05,Michael Wolfe,Engineer,61531,3,Deleonview
82,2026-03-04,HR,2026-03,Christopher Green,Analyst,49125,6,Kevinburgh
83,2026-04-19,HR,2026-04,Nicole Huber,Analyst,83982,4,East Leon
84,2026-04-10,HR,2026-04,Stephen Wong,Engineer,116458,4,South Malloryhaven
85,2026-05-14,HR,2026-05,Joseph Lewis,Analyst,103555,15,Blevinsfurt
86,2026-04-18,HR,2026-04,Christopher Sanchez,Engineer,139652,4,Lake Thomasstad
87,2026-02-26,HR,2026-02,Courtney Little,DevOps,117910,15,East Jacob
